اسم اللاعب;العمر;المركز;عدد التمريرات;دقة التمريرات (%);عدد التسديدات;عدد الأهداف;نسبة النجاح في المواجهات (%);السرعة القصوى (كم/س);المسافة المقطوعة (كم);معدل نبض القلب;نسبة التعب في نهاية الشوط;التقييم العام;تصنيف اللاعب
سعود القحطاني;23;وسط;91;67.96;11;4;47.24;31.31;9.19;125;48.07;48.31;موهوب
راكان المالكي;22;دفاع;46;79.73;3;3;65.58;26.62;6.56;153;23.19;45.19;موهوب
ناصر الشمري;19;دفاع;31;70.01;7;1;71.51;24.76;8.40;119;49.40;42.45;غير موهوب
خالد الغامدي;21;دفاع;30;86.79;2;3;81.95;32.90;7.12;174;34.03;50.20;موهوب
أحمد البلوي;23;دفاع;72;68.67;9;2;48.23;28.78;11.04;157;36.68;48.16;موهوب
ناصر الزهراني;24;حارس;74;87.57;7;0;76.95;24.95;9.11;121;43.91;49.39;موهوب
فهد المالكي;20;هجوم;23;61.97;8;0;78.39;32.14;6.96;153;33.63;44.12;غير موهوب
ناصر الغامدي;27;هجوم;69;87.92;2;0;54.6;29.74;11.63;151;22.68;47.62;موهوب
عبدالله الحربي;23;وسط;47;80.76;3;1;70;33.62;9.07;155;15.87;46.15;موهوب
سالم الزهراني;20;هجوم;83;61.93;5;0;58.04;27.31;6.44;168;15.27;47.22;موهوب
فهد الحربي;26;دفاع;36;74.03;2;0;83.39;28.06;11.20;182;45.68;51.37;موهوب
محمد الغامدي;27;وسط;30;92.71;8;4;76.01;30.98;11.35;180;28.57;51.29;موهوب
أحمد العتيبي;24;وسط;70;77.73;8;0;72.38;29.90;10.36;136;19.48;47.09;موهوب
محمد البلوي;23;دفاع;85;61.44;5;1;58.85;28.56;7.58;173;38.26;50.97;موهوب
تركي العتيبي;28;دفاع;14;67.14;6;2;75.37;32.95;9.38;147;23.96;41.98;غير موهوب
محمد الحربي;27;دفاع;61;79.65;3;0;46.89;23.66;9.60;127;15.21;40.67;غير موهوب
محمد الغامدي;20;هجوم;84;74.81;2;1;45.01;24.50;11.03;170;42.50;50.54;موهوب
ناصر الحربي;29;حارس;31;67.96;0;3;43.49;30.94;10.22;170;14.87;41.28;غير موهوب
سعود الغامدي;18;دفاع;85;94.76;2;1;78.8;29.51;8.71;164;40.30;56.01;موهوب
سالم المالكي;25;وسط;62;87.02;11;5;53.81;32.86;6.13;144;39.64;49.05;موهوب
فهد الزهراني;22;هجوم;12;69.41;5;1;40.03;34.22;10.17;133;15.05;35.54;غير موهوب
خالد العنزي;28;حارس;15;75.85;5;2;50.99;29.63;8.09;170;24.94;42.39;غير موهوب
ناصر الغامدي;24;هجوم;23;60.23;7;2;53.38;32.51;9.47;136;40.68;40.47;غير موهوب
سالم الغامدي;26;وسط;14;65.62;6;2;50.35;27.46;11.35;150;25.72;39.17;غير موهوب
عبدالله الحربي;26;حارس;72;78.94;5;1;73.79;28.02;10.43;137;29.07;48.36;موهوب
فهد الشمري;24;حارس;67;74.69;5;0;40.5;33.34;8.04;144;21.87;43.83;غير موهوب
راكان العنزي;22;هجوم;18;79.47;8;5;50;25.71;10.09;165;33.36;43.85;غير موهوب
راكان الزهراني;19;حارس;31;85.52;5;3;57.84;25.55;9.94;180;22.67;46.72;موهوب
ناصر العتيبي;22;وسط;68;63.23;6;4;41.75;32.99;10.28;143;15.36;42.73;غير موهوب
ناصر الزهراني;26;دفاع;81;87.87;0;0;54.98;32.95;8.60;159;37.60;51.33;موهوب
تركي العتيبي;22;وسط;58;87.12;3;0;58.06;28.03;5.81;175;24.19;48.80;موهوب
راكان العنزي;26;دفاع;49;79.84;1;2;79.39;29.72;8.29;123;42.45;46.08;موهوب
